id,filename,label,provider,domain,topic,word_count,timestamp
25,fake_paper_025.txt,AI,gemini,Multimodal Learning / Document Understanding,Layout-Aware Multimodal Transformers for Document Information Extraction,2390,2026-03-20T20:51:33.541385
26,fake_paper_026.txt,AI,gemini,NLP / Clinical Text Mining,Transformer-Based Extraction of Adverse Drug Events from Clinical Notes,2748,2026-03-20T20:52:05.193923
27,fake_paper_027.txt,AI,gemini,Neural Reasoning,Chain-of-Thought Distillation for Multi-Hop Question Answering,2224,2026-03-20T20:52:34.785675
28,fake_paper_028.txt,AI,gemini,Large Language Models,Parameter-Efficient Fine-Tuning of Large Language Models via Adaptive LoRA,1501,2026-03-20T20:52:56.472908
29,fake_paper_029.txt,AI,gemini,Computer Vision / Semantic Segmentation,Boundary-Aware Transformer for Weakly Supervised Semantic Segmentation,2529,2026-03-20T20:53:21.118600
30,fake_paper_030.txt,AI,gemini,Adversarial Robustness,Certified Adversarial Robustness via Randomized Smoothing with Tight Bounds,2593,2026-03-20T20:53:45.740753
31,fake_paper_031.txt,AI,gemini,Neural Compression,Learned Image Compression with Entropy Coding and Hyperprior Models,2294,2026-03-20T20:54:10.425896
32,fake_paper_032.txt,AI,gemini,Meta-Learning,Task-Agnostic Meta-Learning via Latent Space Optimization,2517,2026-03-20T20:54:38.824804
33,fake_paper_033.txt,AI,gemini,NLP / Code Generation,Execution-Guided Neural Program Synthesis with Type-Constrained Decoding,1751,2026-03-20T20:55:00.763076
34,fake_paper_034.txt,AI,gemini,Bayesian Deep Learning,Scalable Bayesian Neural Networks via Structured Variational Inference,2393,2026-03-20T20:55:26.961125
35,fake_paper_035.txt,AI,gemini,Reinforcement Learning / Multi-Agent Systems,Cooperative Multi-Agent Reinforcement Learning with Communication Constraints,2452,2026-03-20T20:55:54.356508
36,fake_paper_036.txt,AI,gemini,Semi-Supervised Learning,Consistency Regularization with Stochastic Augmentation Graphs for SSL,2274,2026-03-20T20:56:18.484126
37,fake_paper_037.txt,AI,gemini,Quantum Machine Learning,Variational Quantum Circuits for Binary Classification on NISQ Devices,2011,2026-03-20T20:56:40.575029
38,fake_paper_038.txt,AI,gemini,Privacy-Preserving Machine Learning,Secure Multi-Party Computation for Distributed Model Training,2302,2026-03-20T20:57:09.845005
39,fake_paper_039.txt,AI,gemini,Knowledge Graph Embedding,Relational Hyperbolic Embeddings for Knowledge Graph Completion,2091,2026-03-20T20:57:35.696686
40,fake_paper_040.txt,AI,gemini,Neural Architecture Search,Differentiable Architecture Search with Hardware-Aware Efficiency Constraints,2739,2026-03-20T20:58:11.102167
41,fake_paper_041.txt,AI,gemini,Graph Neural Networks / Recommendation Systems,Dynamic Graph Attention Networks for Session-Based Recommendation,2286,2026-03-20T20:58:35.761697
42,fake_paper_042.txt,AI,gemini,Computer Vision / 3D Point Clouds,PointFlow: Normalizing Flows for 3D Point Cloud Generation,2260,2026-03-20T20:58:56.980385
43,fake_paper_043.txt,AI,gemini,Self-Supervised Learning / Speech Processing,Contrastive Self-Supervised Learning for Low-Resource Speech Recognition,1990,2026-03-20T20:59:17.720307
44,fake_paper_044.txt,AI,gemini,Contrastive Learning / Multi-Modal,Cross-Modal Contrastive Alignment for Vision-Language Pretraining,2243,2026-03-20T20:59:42.550368
45,fake_paper_045.txt,AI,gemini,Offline Reinforcement Learning,Conservative Policy Optimization for Offline Reinforcement Learning,2187,2026-03-20T21:00:07.228280
46,fake_paper_046.txt,AI,gemini,Explainable AI / Computer Vision,Gradient-Based Saliency Maps with Causal Attribution for Medical Diagnosis,2210,2026-03-20T21:00:35.465201
47,fake_paper_047.txt,AI,gemini,Explainable AI / NLP,Attention Flow Analysis for Interpretable Text Classification,2110,2026-03-20T21:00:58.367908
48,fake_paper_048.txt,AI,gemini,Federated Learning / Differential Privacy,Differentially Private Gradient Aggregation in Cross-Silo Federated Learning,2271,2026-03-20T21:01:22.898686
49,fake_paper_049.txt,AI,gemini,Self-Supervised Learning / Computer Vision,Masked Autoencoders with Hierarchical Token Prediction for Dense Prediction,2064,2026-03-20T21:01:45.676646
50,fake_paper_050.txt,AI,gemini,Multimodal Learning / Audio-Visual,Audio-Visual Source Separation via Cross-Modal Attention Fusion,2375,2026-03-20T21:02:13.934963
51,fake_paper_051.txt,AI,gemini,Time Series Analysis / Forecasting,Probabilistic Transformer Forecasting with Conformal Prediction Intervals,1591,2026-03-20T21:02:31.525104
52,fake_paper_052.txt,AI,gemini,Computer Vision / Few-Shot Learning,Prototype Calibration Networks for Few-Shot Image Classification,1932,2026-03-20T21:02:53.223131
53,fake_paper_053.txt,AI,gemini,Generative Models / GANs,Conditional Wasserstein GANs for Tabular Data Augmentation,2613,2026-03-20T21:03:19.270485
54,fake_paper_054.txt,AI,gemini,Natural Language Processing / Low-Resource NLP,Cross-Lingual Transfer Learning for Low-Resource Named Entity Recognition,4386,2026-03-20T21:03:52.039129
55,fake_paper_055.txt,AI,gemini,Graph Neural Networks / Natural Language Processing,Heterogeneous Graph Transformers for Biomedical Relation Extraction,1718,2026-03-20T21:04:12.945464
56,fake_paper_056.txt,AI,gemini,Causal Inference / Machine Learning,Causal Representation Learning for Out-of-Distribution Generalization,3064,2026-03-20T21:04:46.258309
57,fake_paper_057.txt,AI,gemini,Tabular Machine Learning,TabNet Revisited: Gated Feature Selection with Self-Supervised Pretraining,1975,2026-03-20T21:05:09.746877
58,fake_paper_058.txt,AI,gemini,Natural Language Processing / Efficient Transformers,Sparse Mixture-of-Experts Attention for Long-Document Summarization,3067,2026-03-20T21:05:43.165541
59,fake_paper_059.txt,AI,gemini,Commonsense Reasoning,Neurosymbolic Integration for Commonsense Inference in Open-Domain QA,2582,2026-03-20T21:06:10.724363
60,fake_paper_060.txt,AI,gemini,Fairness in Machine Learning,Mitigating Demographic Bias in Large Language Models via Contrastive Fine-Tuning,1956,2026-03-20T21:06:37.887582
61,fake_paper_061.txt,AI,gemini,Computer Vision / Remote Sensing,Self-Supervised Change Detection in Multitemporal Satellite Imagery,2066,2026-03-20T21:07:00.678310
62,fake_paper_062.txt,AI,gemini,Computer Vision / Object Detection,Anchor-Free Object Detection with Deformable Convolutional Feature Pyramids,3116,2026-03-20T21:07:30.182806
63,fake_paper_063.txt,AI,gemini,Reinforcement Learning / Robotics,Hierarchical Reinforcement Learning for Multi-Step Manipulation Tasks,2523,2026-03-20T21:07:56.137519
64,fake_paper_064.txt,AI,gemini,Graph Neural Networks / Anomaly Detection,Graph Neural Networks for Supply Chain Anomaly Detection,2206,2026-03-20T21:08:21.400134
65,fake_paper_065.txt,AI,gemini,Multimodal Learning / Vision-Language,Grounded Visual Question Answering with Scene Graph Supervision,2200,2026-03-20T21:08:43.449240
66,fake_paper_066.txt,AI,gemini,Continual Learning,Elastic Weight Consolidation with Dynamic Memory Replay for Continual Learning,2430,2026-03-20T21:09:08.966850
67,fake_paper_067.txt,AI,gemini,Natural Language Processing / Transformers,Improving Transformer Efficiency Using Dynamic Token Pruning,1584,2026-03-20T21:09:30.077210
68,fake_paper_068.txt,AI,gemini,Time Series Analysis / Anomaly Detection,Temporal Convolutional Networks with Attention for Multivariate Anomaly Detection,2493,2026-03-20T21:09:54.054884
69,fake_paper_069.txt,AI,gemini,Optimization / Deep Learning,Adaptive Gradient Clipping for Training Stability in Large-Scale Neural Networks,2566,2026-03-20T21:10:20.791983
70,fake_paper_070.txt,AI,gemini,Federated Learning / Medical Image Analysis,Federated Learning for Privacy-Preserving Medical Image Segmentation,2561,2026-03-20T21:10:46.098850
71,fake_paper_071.txt,AI,gemini,Distribution Shift,Test-Time Adaptation via Self-Supervised Auxiliary Tasks under Covariate Shift,1975,2026-03-20T21:11:06.894177
72,fake_paper_072.txt,AI,gemini,Generative Models / Diffusion,Latent Diffusion Models for High-Fidelity Medical Image Synthesis,2431,2026-03-20T21:11:34.984054
73,fake_paper_073.txt,AI,gemini,NLP / Dialogue Systems,Persona-Consistent Response Generation with Memory-Augmented Transformers,2588,2026-03-20T21:12:03.557251
74,fake_paper_074.txt,AI,gemini,Mixture of Experts,Sparse Gating Mechanisms for Conditional Computation in Vision Transformers,2384,2026-03-20T21:12:31.388757
75,fake_paper_075.txt,AI,gemini,Multimodal Learning / Document Understanding,Layout-Aware Multimodal Transformers for Document Information Extraction,1829,2026-03-20T21:12:49.961512
76,fake_paper_076.txt,AI,gemini,NLP / Clinical Text Mining,Transformer-Based Extraction of Adverse Drug Events from Clinical Notes,2089,2026-03-20T21:13:15.544213
77,fake_paper_077.txt,AI,gemini,Neural Reasoning,Chain-of-Thought Distillation for Multi-Hop Question Answering,2482,2026-03-20T21:13:40.419434
78,fake_paper_078.txt,AI,gemini,Large Language Models,Parameter-Efficient Fine-Tuning of Large Language Models via Adaptive LoRA,2238,2026-03-20T21:14:04.519812
79,fake_paper_079.txt,AI,gemini,Computer Vision / Semantic Segmentation,Boundary-Aware Transformer for Weakly Supervised Semantic Segmentation,1967,2026-03-20T21:14:24.838447
80,fake_paper_080.txt,AI,gemini,Adversarial Robustness,Certified Adversarial Robustness via Randomized Smoothing with Tight Bounds,2413,2026-03-20T21:14:49.847532
81,fake_paper_081.txt,AI,gemini,Neural Compression,Learned Image Compression with Entropy Coding and Hyperprior Models,2102,2026-03-20T21:15:14.747843
82,fake_paper_082.txt,AI,gemini,Meta-Learning,Task-Agnostic Meta-Learning via Latent Space Optimization,2107,2026-03-20T21:15:39.260321
83,fake_paper_083.txt,AI,gemini,NLP / Code Generation,Execution-Guided Neural Program Synthesis with Type-Constrained Decoding,2453,2026-03-20T21:16:09.096217
84,fake_paper_084.txt,AI,gemini,Bayesian Deep Learning,Scalable Bayesian Neural Networks via Structured Variational Inference,2023,2026-03-20T21:16:29.495037
85,fake_paper_085.txt,AI,gemini,Reinforcement Learning / Multi-Agent Systems,Cooperative Multi-Agent Reinforcement Learning with Communication Constraints,2638,2026-03-24T09:24:30.957456
86,fake_paper_086.txt,AI,gemini,Semi-Supervised Learning,Consistency Regularization with Stochastic Augmentation Graphs for SSL,2345,2026-03-30T21:40:00.639559
87,fake_paper_087.txt,AI,gemini,Quantum Machine Learning,Variational Quantum Circuits for Binary Classification on NISQ Devices,2482,2026-03-30T21:40:32.714083
88,fake_paper_088.txt,AI,gemini,Privacy-Preserving Machine Learning,Secure Multi-Party Computation for Distributed Model Training,1975,2026-03-30T21:41:01.795229
89,fake_paper_089.txt,AI,gemini,Knowledge Graph Embedding,Relational Hyperbolic Embeddings for Knowledge Graph Completion,2361,2026-03-30T21:41:40.163643
90,fake_paper_090.txt,AI,gemini,Neural Architecture Search,Differentiable Architecture Search with Hardware-Aware Efficiency Constraints,2324,2026-03-30T21:42:12.560262
91,fake_paper_091.txt,AI,gemini,Graph Neural Networks / Recommendation Systems,Dynamic Graph Attention Networks for Session-Based Recommendation,2298,2026-03-30T21:43:14.651391
92,fake_paper_092.txt,AI,gemini,Computer Vision / 3D Point Clouds,PointFlow: Normalizing Flows for 3D Point Cloud Generation,2227,2026-03-30T21:43:43.146425
93,fake_paper_093.txt,AI,gemini,Self-Supervised Learning / Speech Processing,Contrastive Self-Supervised Learning for Low-Resource Speech Recognition,2141,2026-03-30T21:44:12.676352
94,fake_paper_094.txt,AI,gemini,Contrastive Learning / Multi-Modal,Cross-Modal Contrastive Alignment for Vision-Language Pretraining,2171,2026-03-30T21:44:41.176723
95,fake_paper_095.txt,AI,gemini,Offline Reinforcement Learning,Conservative Policy Optimization for Offline Reinforcement Learning,2291,2026-03-30T21:45:17.643029
96,fake_paper_096.txt,AI,gemini,Explainable AI / Computer Vision,Gradient-Based Saliency Maps with Causal Attribution for Medical Diagnosis,2380,2026-03-30T21:45:59.348002
97,fake_paper_097.txt,AI,gemini,Explainable AI / NLP,Attention Flow Analysis for Interpretable Text Classification,2144,2026-03-30T21:46:30.326846
98,fake_paper_098.txt,AI,gemini,Federated Learning / Differential Privacy,Differentially Private Gradient Aggregation in Cross-Silo Federated Learning,1703,2026-03-30T21:46:53.476900
99,fake_paper_099.txt,AI,gemini,Self-Supervised Learning / Computer Vision,Masked Autoencoders with Hierarchical Token Prediction for Dense Prediction,2276,2026-03-30T21:47:22.808915
100,fake_paper_100.txt,AI,gemini,Multimodal Learning / Audio-Visual,Audio-Visual Source Separation via Cross-Modal Attention Fusion,2621,2026-03-30T21:47:58.103826
101,fake_paper_101.txt,AI,gemini,Time Series Analysis / Forecasting,Probabilistic Transformer Forecasting with Conformal Prediction Intervals,2318,2026-03-30T21:48:34.315111
102,fake_paper_102.txt,AI,gemini,Computer Vision / Few-Shot Learning,Prototype Calibration Networks for Few-Shot Image Classification,2092,2026-03-30T21:49:04.808427
103,fake_paper_103.txt,AI,gemini,Generative Models / GANs,Conditional Wasserstein GANs for Tabular Data Augmentation,2602,2026-03-30T21:49:40.035422
104,fake_paper_104.txt,AI,gemini,Natural Language Processing / Low-Resource NLP,Cross-Lingual Transfer Learning for Low-Resource Named Entity Recognition,2484,2026-03-30T21:50:12.929754
105,fake_paper_105.txt,AI,gemini,Graph Neural Networks / Natural Language Processing,Heterogeneous Graph Transformers for Biomedical Relation Extraction,1944,2026-03-31T04:55:11.736865
106,fake_paper_106.txt,AI,gemini,Causal Inference / Machine Learning,Causal Representation Learning for Out-of-Distribution Generalization,2432,2026-03-31T04:56:33.642240
107,fake_paper_107.txt,AI,gemini,Tabular Machine Learning,TabNet Revisited: Gated Feature Selection with Self-Supervised Pretraining,2592,2026-03-31T04:57:42.664546
108,fake_paper_108.txt,AI,gemini,Natural Language Processing / Efficient Transformers,Sparse Mixture-of-Experts Attention for Long-Document Summarization,2147,2026-03-31T04:58:19.808260
109,fake_paper_109.txt,AI,gemini,Commonsense Reasoning,Neurosymbolic Integration for Commonsense Inference in Open-Domain QA,2368,2026-03-31T04:58:58.699340
110,fake_paper_110.txt,AI,gemini,Fairness in Machine Learning,Mitigating Demographic Bias in Large Language Models via Contrastive Fine-Tuning,2496,2026-03-31T04:59:29.694322
111,fake_paper_111.txt,AI,gemini,Computer Vision / Remote Sensing,Self-Supervised Change Detection in Multitemporal Satellite Imagery,1751,2026-03-31T05:00:02.514052
112,fake_paper_112.txt,AI,gemini,Computer Vision / Object Detection,Anchor-Free Object Detection with Deformable Convolutional Feature Pyramids,2616,2026-03-31T05:00:35.862569
113,fake_paper_113.txt,AI,gemini,Reinforcement Learning / Robotics,Hierarchical Reinforcement Learning for Multi-Step Manipulation Tasks,2431,2026-03-31T05:02:22.633883
114,fake_paper_114.txt,AI,gemini,Graph Neural Networks / Anomaly Detection,Graph Neural Networks for Supply Chain Anomaly Detection,2198,2026-03-31T05:03:17.266899
115,fake_paper_115.txt,AI,gemini,Multimodal Learning / Vision-Language,Grounded Visual Question Answering with Scene Graph Supervision,2884,2026-03-31T05:03:50.834506
116,fake_paper_116.txt,AI,gemini,Continual Learning,Elastic Weight Consolidation with Dynamic Memory Replay for Continual Learning,2023,2026-03-31T05:05:07.665345
117,fake_paper_117.txt,AI,gemini,Natural Language Processing / Transformers,Improving Transformer Efficiency Using Dynamic Token Pruning,1819,2026-03-31T05:05:33.542709
118,fake_paper_118.txt,AI,gemini,Time Series Analysis / Anomaly Detection,Temporal Convolutional Networks with Attention for Multivariate Anomaly Detection,2103,2026-03-31T05:06:02.831028
119,fake_paper_119.txt,AI,gemini,Optimization / Deep Learning,Adaptive Gradient Clipping for Training Stability in Large-Scale Neural Networks,2427,2026-03-31T05:06:34.768431
120,fake_paper_120.txt,AI,gemini,Federated Learning / Medical Image Analysis,Federated Learning for Privacy-Preserving Medical Image Segmentation,2154,2026-03-31T05:07:02.961614
121,fake_paper_121.txt,AI,gemini,Distribution Shift,Test-Time Adaptation via Self-Supervised Auxiliary Tasks under Covariate Shift,2006,2026-03-31T05:07:33.150560
122,fake_paper_122.txt,AI,gemini,Generative Models / Diffusion,Latent Diffusion Models for High-Fidelity Medical Image Synthesis,1864,2026-03-31T05:07:56.265640
123,fake_paper_123.txt,AI,gemini,NLP / Dialogue Systems,Persona-Consistent Response Generation with Memory-Augmented Transformers,2047,2026-03-31T05:08:23.957979
124,fake_paper_124.txt,AI,gemini,Mixture of Experts,Sparse Gating Mechanisms for Conditional Computation in Vision Transformers,2304,2026-03-31T05:08:54.144007
125,fake_paper_125.txt,AI,gemini,Multimodal Learning / Document Understanding,Layout-Aware Multimodal Transformers for Document Information Extraction,1993,2026-03-31T05:09:21.883645
126,fake_paper_126.txt,AI,gemini,NLP / Clinical Text Mining,Transformer-Based Extraction of Adverse Drug Events from Clinical Notes,1980,2026-03-31T05:09:41.567323
127,fake_paper_127.txt,AI,gemini,Neural Reasoning,Chain-of-Thought Distillation for Multi-Hop Question Answering,2210,2026-03-31T05:10:13.489664
128,fake_paper_128.txt,AI,gemini,Large Language Models,Parameter-Efficient Fine-Tuning of Large Language Models via Adaptive LoRA,2099,2026-03-31T05:10:40.313366
129,fake_paper_129.txt,AI,gemini,Computer Vision / Semantic Segmentation,Boundary-Aware Transformer for Weakly Supervised Semantic Segmentation,2931,2026-03-31T05:11:13.758365
130,fake_paper_130.txt,AI,gemini,Adversarial Robustness,Certified Adversarial Robustness via Randomized Smoothing with Tight Bounds,2390,2026-03-31T05:11:43.261642
131,fake_paper_131.txt,AI,gemini,Neural Compression,Learned Image Compression with Entropy Coding and Hyperprior Models,1945,2026-03-31T05:12:11.771906
132,fake_paper_132.txt,AI,gemini,Meta-Learning,Task-Agnostic Meta-Learning via Latent Space Optimization,2734,2026-03-31T05:12:47.239557
133,fake_paper_133.txt,AI,gemini,NLP / Code Generation,Execution-Guided Neural Program Synthesis with Type-Constrained Decoding,2056,2026-03-31T05:13:16.552571
134,fake_paper_134.txt,AI,gemini,Bayesian Deep Learning,Scalable Bayesian Neural Networks via Structured Variational Inference,2423,2026-03-31T05:13:44.389562
135,fake_paper_135.txt,AI,gemini,Reinforcement Learning / Multi-Agent Systems,Cooperative Multi-Agent Reinforcement Learning with Communication Constraints,2269,2026-03-31T05:14:18.441343
136,fake_paper_136.txt,AI,gemini,Semi-Supervised Learning,Consistency Regularization with Stochastic Augmentation Graphs for SSL,2213,2026-03-31T05:14:48.054924
137,fake_paper_137.txt,AI,gemini,Quantum Machine Learning,Variational Quantum Circuits for Binary Classification on NISQ Devices,2053,2026-03-31T05:15:35.434671
138,fake_paper_138.txt,AI,gemini,Privacy-Preserving Machine Learning,Secure Multi-Party Computation for Distributed Model Training,2056,2026-03-31T05:16:02.631628
139,fake_paper_139.txt,AI,gemini,Knowledge Graph Embedding,Relational Hyperbolic Embeddings for Knowledge Graph Completion,2144,2026-03-31T05:16:27.140861
140,fake_paper_140.txt,AI,gemini,Neural Architecture Search,Differentiable Architecture Search with Hardware-Aware Efficiency Constraints,2942,2026-03-31T05:17:27.959001
141,fake_paper_141.txt,AI,gemini,Graph Neural Networks / Recommendation Systems,Dynamic Graph Attention Networks for Session-Based Recommendation,2213,2026-03-31T05:18:02.576861
142,fake_paper_142.txt,AI,gemini,Computer Vision / 3D Point Clouds,PointFlow: Normalizing Flows for 3D Point Cloud Generation,2360,2026-03-31T05:18:54.611373
143,fake_paper_143.txt,AI,gemini,Self-Supervised Learning / Speech Processing,Contrastive Self-Supervised Learning for Low-Resource Speech Recognition,2608,2026-03-31T05:19:28.175443
145,fake_paper_145.txt,AI,gemini,Offline Reinforcement Learning,Conservative Policy Optimization for Offline Reinforcement Learning,2409,2026-03-31T05:22:16.082871
146,fake_paper_146.txt,AI,gemini,Explainable AI / Computer Vision,Gradient-Based Saliency Maps with Causal Attribution for Medical Diagnosis,1799,2026-03-31T05:22:37.796902
147,fake_paper_147.txt,AI,gemini,Explainable AI / NLP,Attention Flow Analysis for Interpretable Text Classification,2260,2026-03-31T05:23:06.083898
148,fake_paper_148.txt,AI,gemini,Federated Learning / Differential Privacy,Differentially Private Gradient Aggregation in Cross-Silo Federated Learning,2380,2026-03-31T05:23:35.570158
149,fake_paper_149.txt,AI,gemini,Self-Supervised Learning / Computer Vision,Masked Autoencoders with Hierarchical Token Prediction for Dense Prediction,2245,2026-03-31T05:24:06.328697
150,fake_paper_150.txt,AI,gemini,Multimodal Learning / Audio-Visual,Audio-Visual Source Separation via Cross-Modal Attention Fusion,2135,2026-03-31T05:24:35.967057
151,fake_paper_151.txt,AI,gemini,Time Series Analysis / Forecasting,Probabilistic Transformer Forecasting with Conformal Prediction Intervals,1476,2026-03-31T05:25:00.806572
152,fake_paper_152.txt,AI,gemini,Computer Vision / Few-Shot Learning,Prototype Calibration Networks for Few-Shot Image Classification,2660,2026-03-31T05:25:29.379620
153,fake_paper_153.txt,AI,gemini,Generative Models / GANs,Conditional Wasserstein GANs for Tabular Data Augmentation,1850,2026-03-31T05:25:55.712346
154,fake_paper_154.txt,AI,gemini,Natural Language Processing / Low-Resource NLP,Cross-Lingual Transfer Learning for Low-Resource Named Entity Recognition,2378,2026-03-31T05:26:27.632562
155,fake_paper_155.txt,AI,gemini,Graph Neural Networks / Natural Language Processing,Heterogeneous Graph Transformers for Biomedical Relation Extraction,2203,2026-03-31T05:26:55.798051
156,fake_paper_156.txt,AI,gemini,Causal Inference / Machine Learning,Causal Representation Learning for Out-of-Distribution Generalization,2255,2026-03-31T05:27:22.004285
157,fake_paper_157.txt,AI,gemini,Tabular Machine Learning,TabNet Revisited: Gated Feature Selection with Self-Supervised Pretraining,2217,2026-03-31T05:28:12.427046
158,fake_paper_158.txt,AI,gemini,Natural Language Processing / Efficient Transformers,Sparse Mixture-of-Experts Attention for Long-Document Summarization,2230,2026-03-31T05:28:42.694185
159,fake_paper_159.txt,AI,gemini,Commonsense Reasoning,Neurosymbolic Integration for Commonsense Inference in Open-Domain QA,1894,2026-03-31T05:29:06.291450
160,fake_paper_160.txt,AI,gemini,Fairness in Machine Learning,Mitigating Demographic Bias in Large Language Models via Contrastive Fine-Tuning,1993,2026-03-31T05:29:33.711223
161,fake_paper_161.txt,AI,gemini,Computer Vision / Remote Sensing,Self-Supervised Change Detection in Multitemporal Satellite Imagery,2376,2026-03-31T05:30:09.122045
162,fake_paper_162.txt,AI,gemini,Computer Vision / Object Detection,Anchor-Free Object Detection with Deformable Convolutional Feature Pyramids,2105,2026-03-31T05:30:34.574262
163,fake_paper_163.txt,AI,gemini,Reinforcement Learning / Robotics,Hierarchical Reinforcement Learning for Multi-Step Manipulation Tasks,2598,2026-03-31T05:31:07.948456
164,fake_paper_164.txt,AI,gemini,Graph Neural Networks / Anomaly Detection,Graph Neural Networks for Supply Chain Anomaly Detection,2023,2026-03-31T05:31:40.687592
165,fake_paper_165.txt,AI,gemini,Multimodal Learning / Vision-Language,Grounded Visual Question Answering with Scene Graph Supervision,2099,2026-03-31T05:32:05.727293
166,fake_paper_166.txt,AI,gemini,Continual Learning,Elastic Weight Consolidation with Dynamic Memory Replay for Continual Learning,2249,2026-03-31T05:32:31.005213
167,fake_paper_167.txt,AI,gemini,Natural Language Processing / Transformers,Improving Transformer Efficiency Using Dynamic Token Pruning,1977,2026-03-31T05:32:59.380189
168,fake_paper_168.txt,AI,gemini,Time Series Analysis / Anomaly Detection,Temporal Convolutional Networks with Attention for Multivariate Anomaly Detection,2272,2026-03-31T05:33:20.821324
