index,true_label,pred_label,ai_probability,confidence,prediction_str,reasoning,top_indicators,parse_error,error_msg
10,0,0,0.05,0.95,human,"The text exhibits the hallmarks of a specialized academic paper, including a distinct authorial voice, complex mathematical reasoning, and specific references to literature and methodology that are characteristic of human-authored scholarly work.","Specific, idiosyncratic academic voice and personal research narrative | Complex, non-formulaic integration of mathematical proofs and literature citations | Presence of meta-commentary on the research process and specific pedagogical choices | Varied sentence structure and sophisticated, domain-specific technical jargon | Inclusion of specific, non-generic references to personal correspondence or specific book editions",False,
11,0,0,0.05,0.95,human,"The excerpt exhibits the characteristic formatting irregularities, specific project-based acknowledgments, and technical depth typical of a human-authored academic paper from 2016, predating the prevalence of modern LLMs.","Presence of specific, idiosyncratic formatting artifacts (e.g., missing spaces in the header and body text) | Inclusion of highly specific acknowledgments and real-world project context | Use of domain-specific technical jargon and references to specific software tools (SimpleDS, ConvnetJS) | Natural, non-formulaic structure including appendices and specific experimental setup details",False,
12,0,0,0.05,0.95,human,"The text exhibits the structural, stylistic, and formatting characteristics of a genuine academic manuscript, including specific LaTeX-derived artifacts and complex mathematical discourse that is highly characteristic of human-authored research in the field of computational statistics.","Presence of specific, non-standard formatting artifacts (e.g., 'Noname manuscript No.', '4v23740.5051:viXra') | Complex, domain-specific mathematical notation and rigorous derivation structure | Inclusion of specific, idiosyncratic author affiliations and footnotes | Natural, non-formulaic academic prose that reflects deep domain expertise in Bayesian statistics",False,
13,1,1,0.98,0.95,ai_generated,"The text exhibits the hallmark structural rigidity, uniform sentence rhythm, and polished but sterile tone characteristic of high-end LLM-generated academic writing.","Highly formulaic and predictable structural progression | Overly polished, generic academic prose lacking idiosyncratic researcher voice | Suspiciously consistent readability and tone across all sections | Standardized, 'perfect' formatting of citations and mathematical notation typical of LLM outputs | Absence of genuine, nuanced personal research insights or specific experimental 'failures' beyond generic limitations",False,
14,0,0,0.05,0.95,human,"The text exhibits the dense, highly technical, and idiosyncratic structure characteristic of foundational academic research papers from the year 2000, predating modern LLM capabilities and lacking the stylistic markers of AI generation.","Presence of specific academic citations and references (e.g., [LM S99], [Pea88]) | Complex, non-formulaic mathematical definitions and formal notation | Contextualized domain-specific jargon (e.g., 'von Neumann-Morgenstern expected utility') | Structural irregularities consistent with 2000-era academic typesetting and OCR artifacts",False,
15,0,0,0.05,0.95,human,"The text exhibits the hallmarks of a formal academic paper in game theory and mechanism design, characterized by dense technical jargon, specific historical literature reviews, and a sophisticated, non-formulaic argumentative structure typical of human researchers in computer science.","Presence of specific academic citations and historical context (Miller et al. 2005, Prelec 2004) | Complex, multi-layered sentence structures and nuanced technical argumentation | Inclusion of specific, domain-relevant examples (e.g., Airbnb, Yelp, Amazon Mechanical Turk) | Natural stylistic variation and dense, specialized mathematical terminology | Formatting artifacts (e.g., missing spaces in some lines) consistent with OCR or PDF-to-text conversion of a human-authored LaTeX document",False,
16,0,0,0.05,0.95,human,"The text exhibits the dense, highly specialized technical language and specific formatting inconsistencies characteristic of a human-authored academic paper from the early 2010s, rather than the polished, generic output of an AI.","Presence of specific, idiosyncratic formatting artifacts (e.g., missing spaces in 'October2010', 'individualstobejointlyderived') | Complex, domain-specific technical notation and formal logic definitions that reflect deep academic expertise | Natural, non-formulaic transitions between theoretical frameworks and practical case studies | Inclusion of specific, dated citations and references to real-world research projects (e.g., Patel et al. 2007, XSB CVS repository)",False,
17,1,1,0.98,0.98,ai_generated,"The text exhibits the hallmark structural rigidity, repetitive transition patterns, and sterile, overly-polished tone characteristic of large language models, combined with a lack of authentic, idiosyncratic research narrative.","Formulaic and highly predictable structural progression | Generic, overly polished academic prose lacking idiosyncratic researcher voice | Suspiciously uniform sentence length and rhythm | High density of generic placeholder citations and synthetic-sounding reference titles | Absence of nuanced, domain-specific 'failures' or 'unexpected' experimental hurdles",False,
18,1,1,0.98,0.95,ai_generated,"The text exhibits the hallmark 'perfect' structure and sterile, high-fluency tone characteristic of LLM-generated academic writing, lacking the stylistic irregularities and specific, messy insights typical of human-authored research.","Highly formulaic and predictable structural progression | Overly polished, generic academic prose lacking idiosyncratic voice | Suspiciously consistent readability and sentence length | Perfectly formatted, textbook-style pseudocode and LaTeX integration | Absence of genuine researcher 'hedging' or nuanced personal perspective",False,
19,0,0,0.15,0.85,human,"The text exhibits clear markers of human authorship, specifically non-native English grammatical idiosyncrasies and structural inconsistencies that AI models are typically trained to avoid or correct.","Presence of idiosyncratic grammatical errors and non-native English phrasing (e.g., 'metod', 'has not much effective', 'at end of this paper') | Inconsistent formatting and layout issues typical of manual manuscript preparation | Specific, non-formulaic academic structure that reflects common patterns in engineering/mathematics papers from non-native English speaking researchers | Lack of the 'perfect' syntactic flow and overly polished, generic vocabulary characteristic of LLMs",False,
20,0,0,0.05,0.95,human,"The text exhibits the dense, highly specific, and structurally complex characteristics of a genuine academic paper, including idiosyncratic formatting and nuanced methodological discussions that are typical of human-authored research in the field of information extraction.","Presence of specific, idiosyncratic academic formatting and metadata (viXra, ACM journal headers, DOI placeholders) | Complex, multi-layered sentence structures that reflect specific domain-expert argumentation rather than LLM-typical fluency | Inclusion of detailed, non-formulaic footnotes and specific references to external datasets and prior research methodologies | Natural stylistic variation and dense, technical prose characteristic of specialized academic writing in computer science",False,
21,0,0,0.05,0.95,human,"The text exhibits the hallmarks of a niche, idiosyncratic academic proposal—including unique theoretical terminology, specific personal references to previous work, and non-standard formatting—which are inconsistent with the generic, polished, and consensus-driven output of current AI models.","Highly idiosyncratic and non-standard theoretical framework ('Oral Billiards') | Presence of specific, non-formulaic formatting errors and layout artifacts typical of self-published academic drafts | Complex, domain-specific jargon that deviates from standard linguistic consensus in a way characteristic of a niche researcher's personal model",False,
22,1,1,0.98,0.98,ai_generated,"The text exhibits the hallmark 'hallucinated' academic style of LLMs, characterized by perfectly balanced paragraph structures, predictable transitions, and a lack of authentic, domain-specific stylistic variation.","Highly formulaic and repetitive structural transitions | Generic, overly polished academic prose lacking idiosyncratic researcher voice | Suspiciously consistent readability and sentence length distribution | Generic placeholder-style citations and bibliography structure | Absence of genuine, nuanced research limitations or personal insights",False,
23,0,0,0.02,0.98,human,"The text exhibits the hallmarks of a genuine academic research paper, including specific author affiliations, detailed mathematical proofs, and nuanced citations that are characteristic of human-authored scholarly work from 2013.","Presence of specific academic metadata (viXra ID, journal volume/year, author affiliations) | Complex mathematical notation and rigorous proof structures | Contextual references to specific literature and historical development of the field | Natural, non-formulaic transitions between technical sections and conceptual explanations",False,
24,1,1,0.98,0.98,ai_generated,"The excerpt exhibits the hallmark structural rigidity, uniform tone, and formulaic transition patterns characteristic of large language models, lacking the stylistic nuances and specific, non-linear insights expected in a genuine research paper.","Formulaic and highly predictable structural progression (Abstract -> Intro -> Related Work -> Methodology -> Experiments -> Discussion) | Excessively polished, generic academic prose lacking idiosyncratic researcher voice or stylistic variation | Suspiciously consistent readability and tone throughout the entire document | High density of 'hallucinated' or generic citations that follow a standard pattern of AI-generated bibliographies | Absence of genuine hedging or specific, messy research insights typical of human-authored experimental narratives",False,
25,1,1,0.98,0.98,ai_generated,"The text exhibits the hallmark structural rigidity, generic academic vocabulary, and lack of authentic human nuance characteristic of high-quality LLM-generated technical writing.","Highly formulaic and predictable paragraph structure | Uniform, polished, and sterile academic tone lacking idiosyncratic researcher voice | Generic transition phrases and repetitive structural patterns | Suspiciously consistent readability and lack of stylistic variance across sections",False,
26,1,1,0.98,0.95,ai_generated,"The text exhibits the hallmark structural rigidity, generic academic lexicon, and lack of stylistic variance characteristic of large language model outputs, despite the inclusion of technical jargon.","Formulaic and highly predictable structural progression | Generic, overly polished academic tone lacking idiosyncratic researcher voice | Suspiciously uniform sentence length and rhythm | Hallucinated or generic-sounding citations in the reference list | Absence of nuanced, field-specific 'messiness' or genuine research uncertainty",False,
27,1,1,0.98,0.95,ai_generated,"The text exhibits the hallmark structural rigidity, lack of stylistic variance, and generic academic polish characteristic of large language models, despite the inclusion of plausible-sounding technical jargon.","Highly formulaic and repetitive structural transitions | Uniform, overly polished, and sterile academic tone | Predictable 'problem-solution-evaluation' narrative arc | Lack of idiosyncratic researcher voice or nuanced personal perspective | Suspiciously perfect formatting and standard citation density",False,
28,0,0,0.02,0.98,human,"The text exhibits the hallmarks of expert academic writing, including precise mathematical derivations, critical evaluation of prior research, and specific contextual references that are characteristic of a peer-reviewed machine learning paper from 2012.","Presence of specific academic citations and historical context (e.g., NIPS workshops 2008/2009) | Complex, domain-specific mathematical notation and rigorous proof structures | Nuanced discussion of limitations in previous literature (e.g., identifying erroneous proofs in Cristianini et al.) | Varied sentence structure and technical density characteristic of expert-authored research",False,
29,0,0,0.05,0.95,human,"The text exhibits the hallmarks of a specialized academic paper, including nuanced domain-specific argumentation, personal researcher voice, and a clear, non-formulaic progression of mathematical logic that is characteristic of human-authored research in quantitative linguistics.","Presence of specific, idiosyncratic academic context and institutional affiliation | Use of domain-specific jargon and mathematical derivations consistent with established quantitative linguistics literature | Natural stylistic variation and inclusion of personal research narrative ('Here we sketch', 'our point is') | Appropriate use of hedging and acknowledgment of model limitations | Integration of specific, non-generic citations and funding acknowledgments",False,
30,0,0,0.02,0.98,human,"The text exhibits clear markers of human authorship, including a distinct personal voice, anecdotal evidence, and a reflective, self-critical narrative style that is characteristic of academic papers from the late 1980s.","Presence of idiosyncratic, personal narrative regarding the research process | Specific, domain-expert anecdotes (e.g., the expert's reaction to the system change) | Complex, non-formulaic sentence structures and varied paragraph lengths | Explicit admission of past methodological errors and 'novice' status | Contextualized references to historical academic debates and specific researchers",False,
31,0,0,0.02,0.98,human,"The text exhibits the high-level technical depth, specific historical context, and complex mathematical reasoning characteristic of a seminal research paper written by domain experts in machine learning.","Presence of specific, idiosyncratic academic citations and historical context (e.g., Martens 2010, Sutskever et al. 2013) | Complex, multi-layered mathematical derivations and logical justifications for specific approximations | Varied sentence structure and sophisticated, domain-specific technical prose characteristic of expert researchers | Inclusion of personal research insights and nuanced justifications for methodological choices",False,
32,1,1,0.98,0.98,ai_generated,"The excerpt exhibits the hallmark structural rigidity, polished neutrality, and formulaic transitions characteristic of large language models, lacking the stylistic variability and subjective depth typical of human-authored research.","Highly formulaic and predictable structural progression | Overly polished, generic academic prose lacking idiosyncratic researcher voice | Suspiciously uniform sentence length and rhythm throughout the text | Perfectly formatted, textbook-style LaTeX notation and algorithmic pseudocode | Absence of genuine hedging or nuanced personal research insights",False,
33,0,0,0.05,0.95,human,"The paper exhibits high-level domain expertise, specific methodological justifications, and structural nuances characteristic of academic research written by human experts, despite the presence of OCR-related formatting errors.","Specific domain-expert methodology (e.g., power mean exponent selection, ICD-9/ATC hierarchy handling) | Inclusion of detailed, non-generic experimental setup and clinical rationale | Presence of specific, idiosyncratic formatting artifacts (e.g., missing spaces in the provided text block) | Clear researcher voice and logical progression of hypothesis-driven experimentation",False,
34,1,1,0.95,0.95,ai_generated,"The excerpt exhibits the hallmark structural rigidity, generic academic tone, and lack of authentic researcher voice characteristic of high-quality AI-generated technical writing.","Highly formulaic and predictable structural progression typical of LLM-generated academic templates | Uniform, polished, and sterile prose lacking idiosyncratic researcher voice or stylistic variance | Generic 'Discussion' and 'Limitations' sections that follow standard AI-hallucinated patterns for research papers | Suspiciously perfect formatting of LaTeX equations and tables that lack the minor inconsistencies found in human-authored drafts",False,
35,1,1,0.95,0.95,ai_generated,"The text exhibits the hallmark 'perfect' but sterile structure of an LLM, characterized by formulaic transitions, a lack of stylistic variation, and a generic academic tone that mimics research papers without demonstrating the natural inconsistencies or specific authorial voice typical of human-authored technical work.","Highly formulaic and predictable structural progression | Generic, overly polished academic prose lacking idiosyncratic researcher voice | Suspiciously uniform sentence length and rhythm throughout technical sections | Absence of genuine hedging or nuanced personal research insights",False,
36,1,1,0.98,0.95,ai_generated,"The text exhibits the hallmark characteristics of a Large Language Model, including a perfectly balanced, template-driven structure, lack of stylistic variation, and a generic 'academic' tone that prioritizes coherence over the unique, messy, and iterative nature of human research writing.","Highly formulaic and predictable structural progression | Generic, overly polished academic tone lacking idiosyncratic researcher voice | Suspiciously uniform sentence length and rhythm throughout the text | Absence of genuine hedging or nuanced discussion of research failures",False,
37,0,0,0.05,0.95,human,"The text exhibits the dense, highly technical, and idiosyncratic structure of a formal logic research paper, including specific mathematical definitions and references to established literature that are characteristic of human-authored academic work in theoretical computer science.","High density of domain-specific formal notation and mathematical definitions | Presence of idiosyncratic, non-standard formatting (e.g., viXra identifier, specific citation style) | Complex, multi-layered logical structure characteristic of specialized academic research | Use of specific, non-generic terminology like 'star-type', 'message-type', and 'chromatic structure'",False,
38,1,1,0.98,0.95,ai_generated,"The text exhibits the hallmark structural rigidity, lack of stylistic variation, and overly polished, generic academic prose characteristic of large language models, despite the inclusion of plausible technical jargon.","Highly formulaic and predictable structural progression | Uniformly polished, neutral academic tone lacking idiosyncratic researcher voice | Generic transition phrases and lack of nuanced, subjective research insights | Suspiciously consistent readability and sentence length distribution",False,
39,1,1,0.98,0.98,ai_generated,"The text exhibits the hallmark 'hallucinated academic' style characterized by perfectly uniform paragraph lengths, formulaic transitions, and a lack of genuine, nuanced researcher perspective, typical of high-end LLM output.","Formulaic and highly repetitive structural transitions | Overly polished, generic academic prose lacking idiosyncratic researcher voice | Suspiciously consistent readability and sentence rhythm throughout all sections | High density of generic, non-specific hedging and filler phrases | Artificial synthesis of citations that follow a predictable, repetitive pattern",False,
40,0,0,0.05,0.95,human,"The text exhibits high-level domain expertise, specific references to historical scholarly work (Rabbi Isaiah Berlin), and a complex, custom-engineered algorithmic approach that reflects the idiosyncratic problem-solving typical of human academic research.","Specific domain-expert methodology involving Hebrew/Aramaic orthography | Inclusion of idiosyncratic, non-formulaic footnotes and personal research context | Detailed, manual-style breakdown of linguistic variations and specific Talmudic tractate examples | Presence of nuanced, non-generic limitations and future research suggestions",False,
41,1,1,0.98,0.98,ai_generated,"The text exhibits the hallmark characteristics of a Large Language Model, including a highly standardized, sterile academic tone, perfectly balanced paragraph structures, and a lack of the stylistic irregularities or subjective 'researcher voice' typically found in human-authored technical papers.","Highly formulaic and predictable structural progression | Overly polished, generic academic prose lacking idiosyncratic researcher voice | Suspiciously uniform sentence length and rhythm throughout all sections | Perfectly formatted, textbook-style LaTeX notation and algorithmic presentation | Absence of genuine research limitations or nuanced personal insights",False,
42,1,1,0.98,0.98,ai_generated,"The text exhibits classic hallmarks of LLM generation, including a perfectly balanced, formulaic structure, generic academic phrasing, and a highly suspicious reference list where citations appear to be procedurally generated placeholders.","Highly formulaic and repetitive citation patterns (e.g., [1], [2]... [64]) | Generic, overly polished academic prose lacking idiosyncratic researcher voice | Suspiciously uniform sentence structure and paragraph length | Absence of genuine hedging or specific, nuanced research limitations | Synthetic-looking reference list with placeholder-style author initials",False,
43,0,0,0.05,0.95,human,"The text exhibits the dense, highly technical, and idiosyncratic structure of a formal academic paper, including specific mathematical proofs and references to domain-specific debates that are characteristic of human-authored research from the 2014 era.","Presence of specific, non-standardized formatting artifacts (e.g., viXra identifier, LaTeX-style spacing issues, and manual citation styles) | Complex, domain-specific mathematical notation and rigorous proof-based structure characteristic of academic research in machine learning | Nuanced discussion of theoretical limitations and specific comparisons to prior literature (e.g., Uematsu and Lee, 2011) that reflect deep domain expertise",False,
44,0,0,0.05,0.95,human,"The excerpt contains authentic academic metadata, specific historical context, and formatting irregularities consistent with a human-authored paper from 2013, rather than the polished, generic output of a modern LLM.","Specific, idiosyncratic formatting artifacts (e.g., missing spaces in text blocks like 'crispandprobabilisticapproaches') | Inclusion of specific, dated metadata (e.g., 'submitted 06 April 2012', 'revised 10 November 2012') | Detailed, domain-specific technical narrative with references to specific datasets (CAVIAR) and logic programming frameworks (ProbLog) | Natural, non-formulaic structure typical of academic papers from the early 2010s",False,
45,0,0,0.05,0.95,human,"The excerpt is a classic, high-quality academic paper in machine learning characterized by dense, domain-specific mathematical formalism and specific experimental methodology that predates the widespread use of LLMs for research writing.","Presence of specific academic affiliations and author names | Complex, domain-specific mathematical derivations and notation | References to specific, verifiable historical research and datasets (e.g., CMU motion capture, Drosophila data) | Inclusion of idiosyncratic formatting artifacts (e.g., citation styles, figure references, and appendix mentions)",False,
46,0,0,0.05,0.95,human,"The text exhibits the dense, highly technical, and slightly idiosyncratic formatting typical of human-authored academic papers from the mid-2000s, lacking the polished, generic fluency and structural predictability of modern AI models.","Presence of specific, idiosyncratic formatting errors (e.g., missing spaces in text blocks) | Complex, domain-specific mathematical formalization of semantic networks | Non-formulaic, dense academic prose characteristic of early 2000s computer science literature | Integration of specific, dated references and idiosyncratic structural diagrams",False,
47,1,1,0.98,0.98,ai_generated,"The text exhibits the hallmark structural rigidity, predictable paragraph development, and overly polished, generic academic prose characteristic of large language models, despite the inclusion of plausible-sounding citations.","Highly formulaic and repetitive structural transitions | Uniformly polished, sterile academic tone lacking idiosyncratic researcher voice | Suspiciously consistent readability and sentence length distribution | Generic 'contributions are threefold' framing common in LLM-generated research | Absence of genuine hedging or nuanced personal research insights",False,
48,1,1,0.98,0.95,ai_generated,"The text exhibits the hallmark structural rigidity, uniform sentence rhythm, and polished, generic academic prose characteristic of large language models, lacking the stylistic inconsistencies and nuanced personal insights typical of human-authored research.","Formulaic and highly predictable structural progression | Generic, overly polished academic tone lacking idiosyncratic researcher voice | Suspiciously consistent readability and lack of stylistic variation across sections | Standardized 'AI-style' transition phrases and balanced, symmetrical paragraph lengths | Generic placeholder-style references and lack of specific, messy real-world research constraints",False,
49,0,0,0.02,0.98,human,"The text exhibits clear markers of a human-authored academic paper, including specific historical revision notes, complex mathematical proofs, and idiosyncratic formatting artifacts that are inconsistent with the output of modern LLMs.","Presence of specific, idiosyncratic formatting artifacts (e.g., missing spaces, OCR-like errors, and red/blue text references) | Complex, domain-specific mathematical notation and rigorous formal proof structure | Historical context and specific academic citations (e.g., 1999/2021 revision notes) | Nuanced, non-formulaic discussion of technical assumptions and their limitations",False,
50,0,0,0.05,0.95,human,"The excerpt contains authentic academic metadata, complex mathematical formalizations, and specific, critical engagement with existing literature that is characteristic of human-authored research papers.","Presence of specific academic metadata (ACM copyright, DOI, author affiliations, and email addresses) | Complex, multi-layered sentence structures with domain-specific mathematical notation and formal definitions | Explicit references to specific prior research papers and nuanced critiques of their methodologies | Natural stylistic variations and structural complexity characteristic of formal peer-reviewed journal articles",False,
51,1,1,0.98,0.98,ai_generated,"The text exhibits the hallmark structural rigidity, uniform sentence length, and generic academic phrasing characteristic of large language models, further evidenced by a reference list that appears synthetically generated.","Formulaic and highly repetitive paragraph structure | Generic, overly polished academic tone lacking idiosyncratic researcher voice | Suspiciously consistent readability and sentence rhythm throughout all sections | Hallucinated or generic-sounding citations in the reference list | Absence of genuine hedging or specific, messy research insights",False,
52,1,1,0.98,0.95,ai_generated,"The text exhibits the hallmark structural rigidity, formulaic transitions, and sterile, high-confidence tone characteristic of large language models, despite the inclusion of plausible-looking technical citations.","Formulaic and highly predictable structural progression | Overly polished, generic academic prose lacking idiosyncratic researcher voice | Suspiciously consistent readability and tone across all sections | High-frequency use of standard AI-generated transition phrases (e.g., 'Our contributions are threefold', 'To address this, we introduce') | Lack of genuine hedging or nuanced personal research insights",False,
53,1,1,0.98,0.98,ai_generated,"The text exhibits the hallmark structural rigidity, lack of stylistic variance, and generic academic tone characteristic of large language model outputs, despite the inclusion of technical jargon.","Highly formulaic and repetitive structural patterns across sections | Generic, overly polished academic prose lacking idiosyncratic researcher voice | Suspiciously uniform readability and sentence length | Absence of genuine hedging or nuanced personal research insights | Generic, filler-heavy reference list with suspicious formatting",False,
54,0,0,0.05,0.95,human,"The text exhibits the hallmarks of specialized academic writing, including a clear researcher voice, specific longitudinal references to the authors' own prior work, and complex, non-formulaic structural transitions characteristic of expert human scholarship.","Specific, long-term research trajectory and self-referential citations | Complex, idiosyncratic sentence structures and dense academic jargon | Presence of specific, non-formulaic methodological anecdotes | Nuanced, domain-specific argumentation regarding quantum foundations",False,
55,1,1,0.95,0.95,ai_generated,"The text exhibits the hallmark structural rigidity, uniform tone, and lack of nuanced, non-linear human narrative flow characteristic of high-quality LLM-generated academic content.","Highly formulaic and repetitive structural transitions | Overly polished, generic academic prose lacking idiosyncratic researcher voice | Suspiciously consistent readability and lack of stylistic variation across sections | Standardized, predictable 'limitations and future work' section structure",False,
56,0,0,0.05,0.95,human,"The text exhibits the hallmarks of a genuine academic manuscript, including specific experimental data, idiosyncratic formatting, and a complex, non-formulaic narrative structure characteristic of human-authored research in computer vision.","Presence of specific, non-generic academic formatting artifacts (e.g., 'manuscript No.', 'Received:date/Accepted:date') | Inclusion of highly specific, idiosyncratic references to domain-specific datasets and figures (e.g., '3431 out of 14011 annotations') | Complex, multi-layered sentence structures that reflect specific research narrative rather than formulaic AI output | Natural stylistic variations and specific, dense technical jargon consistent with established computer vision literature",False,
57,1,1,0.95,0.95,ai_generated,"The text exhibits the hallmark characteristics of a large language model, including a perfectly uniform structure, predictable transitions, and a lack of the stylistic irregularities or personal research narrative typically found in human-authored academic papers.","Highly formulaic and repetitive structural patterns | Overly polished, generic academic prose lacking idiosyncratic researcher voice | Suspiciously consistent readability and tone throughout all sections | Absence of genuine hedging or nuanced personal research insights | Synthetic-looking bibliography and citation formatting",False,
58,0,0,0.05,0.95,human,"The text exhibits the hallmarks of a genuine research paper, including specific technical workflows, critical analysis of cited literature, and idiosyncratic formatting typical of academic manuscripts rather than the polished, generic output of an LLM.","Presence of specific, idiosyncratic formatting artifacts (e.g., '4v91340.6051:viXra') | Integration of raw code listings and specific command-line outputs characteristic of a practitioner's workflow | Direct, critical engagement with specific literature and identification of typographical errors in cited papers | Natural, non-formulaic transitions and specific, domain-expert narrative voice",False,
59,0,0,0.05,0.95,human,"The text exhibits the hallmarks of a specialized academic paper, including idiosyncratic formatting errors, a distinct argumentative voice, and complex, domain-specific mathematical proofs that are characteristic of human-authored research in quantitative linguistics.","Idiosyncratic and non-standard formatting (e.g., missing spaces in text blocks) | Specific, domain-heavy academic argumentation with a clear, argumentative researcher voice | References to specific, niche academic debates and personal critiques of existing literature | Complex, non-formulaic mathematical derivations and proofs integrated into the text | Presence of specific, non-generic meta-commentary on the scientific method",False,
60,1,1,0.95,0.95,ai_generated,"The text exhibits the hallmark structural rigidity, uniform sentence length, and polished, sterile prose characteristic of large language models, lacking the stylistic variance and personal perspective typical of human-authored academic research.","Formulaic and highly predictable paragraph structure | Overly polished, generic academic tone lacking idiosyncratic researcher voice | Suspiciously consistent readability and sentence rhythm | Generic transition phrases between sections | Absence of nuanced, subjective, or 'messy' human research insights",False,
61,1,1,0.98,0.98,ai_generated,"The text exhibits the hallmark structural rigidity, uniform tone, and lack of stylistic variance characteristic of large language models, despite the inclusion of plausible-sounding citations and technical jargon.","Formulaic and highly predictable structural progression | Generic, overly polished academic prose lacking idiosyncratic researcher voice | Suspiciously consistent readability and sentence rhythm throughout all sections | Absence of genuine hedging or nuanced discussion of research failures | High-frequency use of standard AI-generated transition phrases and logical connectors",False,
62,0,0,0.15,0.85,human,"The text exhibits clear markers of non-native human authorship, including specific syntactic quirks, localized institutional references, and a unique, slightly unpolished explanatory style that deviates from the highly uniform and error-free output characteristic of modern LLMs.","Non-native English syntactic patterns and idiosyncratic phrasing | Specific, localized academic context (Universidade de São Paulo, Bovespa) | Presence of minor grammatical inconsistencies and awkward phrasing typical of non-native human researchers | Logical flow that prioritizes conceptual explanation over polished, generic AI prose",False,
